BranchNum,FID,kv_from,kv_to,tap,Lat1,Lat2,Lon1,Lon2,Length
5253,5432,66,66,0,34.44917512,34.44873709,-119.8158807,-119.8159771,0.039372012
5254,5433,66,66,0,34.45130823,34.45929847,-119.8304851,-119.8801589,3.48820848
5255,5434,66,66,0,34.44873709,34.45130823,-119.8159771,-119.8304851,1.003239484
5256,5435,66,66,0,34.44873709,34.47570392,-119.8159771,-119.7993188,2.834348266
5257,5436,66,66,0,34.38126484,34.40891958,-119.4307709,-119.5156769,5.659953563
5258,5437,66,66,0,34.40891958,34.40938974,-119.5156769,-119.5150083,0.064100439
5259,5438,66,66,0,34.40891958,34.42681072,-119.5156769,-119.5747893,4.065805573
5260,5439,66,66,0,34.42681072,34.41834533,-119.5747893,-119.5867455,1.535099648
5261,5440,66,66,0,34.40415306,34.42331477,-119.7265524,-119.6855987,3.686745424
5262,5441,66,66,0,34.41838897,34.42252294,-119.685783,-119.6851235,0.437578986
5263,5442,66,66,0,34.42252294,34.42331477,-119.6851235,-119.6855987,0.078140253
5264,5443,66,66,0,34.42252294,34.42681072,-119.6851235,-119.5747893,8.99441893
5265,5444,66,66,0,35.72129626,35.73837172,-118.6954206,-118.5564021,8.053380668
5266,5445,66,66,0,35.73837172,35.77620174,-118.5564021,-118.4362519,10.19468483
5267,5446,66,66,0,35.72125759,35.73837172,-118.6953845,-118.5564021,8.050191009
5268,5447,66,66,0,35.77620043,35.77251219,-118.4362538,-118.4323644,0.381628379
5269,5448,66,66,0,35.45137667,35.45399405,-118.9839222,-118.9914086,0.729664557
5270,5449,66,66,0,35.45399405,35.45464143,-118.9914086,-118.992197,0.080647045
5271,5450,66,66,0,35.45227062,35.45137667,-118.9904154,-118.9839222,0.475771913
5272,5451,66,66,0,35.73286062,35.73292428,-119.1298209,-119.0985142,1.771272379
5273,5452,66,66,0,35.74209738,35.76174635,-119.0518032,-119.0985401,4.084749071
5274,5453,66,66,0,35.70369931,35.71800856,-119.2045057,-119.2230086,2.001230085
5275,5454,66,66,0,35.71845529,35.71895095,-119.2333265,-119.2333701,0.043947657
5276,5455,66,66,0,35.71800856,35.71845529,-119.2230086,-119.2333265,0.598238806
5277,5456,66,66,0,35.77551096,35.77578251,-119.2424865,-119.2423634,0.025588569
5278,5457,66,66,0,35.77576429,35.71800856,-119.2230522,-119.2230086,3.982636298
5279,5458,66,66,0,35.77578653,35.77576429,-119.2411341,-119.2230522,1.016100049
5280,5459,66,66,0,35.77578251,35.77578653,-119.2423634,-119.2411341,0.088205547
5281,5460,66,66,0,35.77576429,35.80524822,-119.2230522,-119.1053729,7.847886174
